file_date,latitude,longitude,sza,vza,xco2,xco2_sigma,xco2_qual,time,GID_0,COUNTRY
2020-01-08,21.39446,106.55501,73.53678,0.885684,408.22522,0.53855574,1.0,2020-01-08 00:57:25.599013632,VNM,Vietnam
2020-01-08,21.313581,106.48108,73.550476,0.83638865,406.50574,0.9341465,1.0,2020-01-08 00:57:25.743008000,VNM,Vietnam
2020-01-08,21.341188,106.51893,73.53548,0.1469759,409.73526,0.49392453,1.0,2020-01-08 00:57:25.823997184,VNM,Vietnam
2020-01-08,21.350435,106.531494,73.53054,0.18409975,408.27457,0.48029864,1.0,2020-01-08 00:57:25.850993664,VNM,Vietnam
2020-01-08,21.3597,106.54403,73.52565,0.4065236,409.08255,0.50444245,1.0,2020-01-08 00:57:25.877990144,VNM,Vietnam
2020-01-08,21.368982,106.55654,73.52079,0.6446488,408.45078,0.5722651,1.0,2020-01-08 00:57:25.905026816,VNM,Vietnam
2020-01-08,21.378288,106.56902,73.51596,0.88589495,409.11346,0.60097843,1.0,2020-01-08 00:57:25.932023296,VNM,Vietnam
2020-01-08,21.297396,106.495056,73.52968,0.8371604,411.37155,0.7884014,1.0,2020-01-08 00:57:26.077023488,VNM,Vietnam
2020-01-08,21.306564,106.50768,73.52465,0.5959945,410.0407,0.68414354,0.0,2020-01-08 00:57:26.104019968,VNM,Vietnam
2020-01-08,21.315767,106.5203,73.51965,0.35889348,410.39383,0.63065296,1.0,2020-01-08 00:57:26.131016192,VNM,Vietnam
2020-01-08,21.324991,106.53289,73.51469,0.14746845,412.00717,0.5962626,1.0,2020-01-08 00:57:26.158012928,VNM,Vietnam
2020-01-08,21.33424,106.545456,73.50975,0.18357028,410.68918,0.5579746,0.0,2020-01-08 00:57:26.185009152,VNM,Vietnam
2020-01-08,21.34351,106.55801,73.50486,0.40604177,410.34085,0.5419927,1.0,2020-01-08 00:57:26.212005632,VNM,Vietnam
2020-01-08,21.352804,106.570526,73.49999,0.64445406,409.37527,0.66275936,1.0,2020-01-08 00:57:26.239002112,VNM,Vietnam
2020-01-08,21.36212,106.58302,73.49516,0.88597953,408.92154,0.6590601,1.0,2020-01-08 00:57:26.265998336,VNM,Vietnam
2020-01-08,21.281227,106.508995,73.50893,0.83749163,409.60062,0.6882529,1.0,2020-01-08 00:57:26.409992960,VNM,Vietnam
2020-01-08,21.290396,106.521614,73.50391,0.59662956,405.44202,0.89251804,1.0,2020-01-08 00:57:26.436989184,VNM,Vietnam
2020-01-08,21.299585,106.5342,73.49892,0.35974452,406.58475,0.9463317,1.0,2020-01-08 00:57:26.464025856,VNM,Vietnam
2020-01-08,21.308802,106.54679,73.49395,0.1477631,410.73062,0.781659,0.0,2020-01-08 00:57:26.491022336,VNM,Vietnam
2020-01-08,21.318043,106.55936,73.48901,0.18212514,413.46188,0.6946855,1.0,2020-01-08 00:57:26.518018816,VNM,Vietnam
2020-01-08,21.327305,106.5719,73.484116,0.4045173,412.8504,0.75952166,1.0,2020-01-08 00:57:26.545015296,VNM,Vietnam
2020-01-08,21.336588,106.58442,73.47925,0.64288026,411.05585,0.9314382,0.0,2020-01-08 00:57:26.572011776,VNM,Vietnam
2020-01-08,21.345892,106.59691,73.47442,0.8843568,411.6661,0.8317158,0.0,2020-01-08 00:57:26.599008000,VNM,Vietnam
2020-01-08,21.26504,106.522995,73.488106,0.8377404,405.3141,0.79241705,1.0,2020-01-08 00:57:26.743002368,VNM,Vietnam
2020-01-08,21.27421,106.53563,73.48308,0.5966894,405.28223,0.86561775,1.0,2020-01-08 00:57:26.769999104,VNM,Vietnam
2020-01-08,21.283401,106.54823,73.47807,0.35969183,405.78604,0.965916,1.0,2020-01-08 00:57:26.796995328,VNM,Vietnam
2020-01-08,21.292616,106.56082,73.473114,0.14807579,412.89246,0.8355274,0.0,2020-01-08 00:57:26.823991808,VNM,Vietnam
2020-01-08,21.301855,106.57338,73.46818,0.18258831,413.18686,0.85770327,1.0,2020-01-08 00:57:26.850988288,VNM,Vietnam
2020-01-08,21.311121,106.58592,73.46328,0.40486902,413.27582,0.8600966,0.0,2020-01-08 00:57:26.878024960,VNM,Vietnam
2020-01-08,21.248924,106.53708,73.46727,0.8363095,408.754,1.047698,1.0,2020-01-08 00:57:27.077018112,VNM,Vietnam
2020-01-08,21.258091,106.5497,73.46224,0.5953683,407.32275,1.0100954,1.0,2020-01-08 00:57:27.104014336,VNM,Vietnam
2020-01-08,21.276495,106.57487,73.45229,0.1473457,412.22806,0.8364652,1.0,2020-01-08 00:57:27.158007296,VNM,Vietnam
2020-01-08,21.285734,106.587425,73.447365,0.18350072,413.7876,0.82390463,0.0,2020-01-08 00:57:27.185003776,VNM,Vietnam
2020-01-08,21.294994,106.59995,73.442474,0.40575248,412.8222,0.892136,0.0,2020-01-08 00:57:27.212000256,VNM,Vietnam
2020-01-08,21.30427,106.61244,73.43762,0.6439374,413.0418,0.96799695,1.0,2020-01-08 00:57:27.238996480,VNM,Vietnam
2020-01-08,21.313576,106.62492,73.4328,0.8852617,413.18893,0.7704921,0.0,2020-01-08 00:57:27.265993216,VNM,Vietnam
2020-01-08,21.232725,106.55095,73.44654,0.8380903,410.90335,0.9554827,1.0,2020-01-08 00:57:27.409987328,VNM,Vietnam
2020-01-08,21.241867,106.56355,73.44152,0.5972561,413.2058,0.8807576,0.0,2020-01-08 00:57:27.437024000,VNM,Vietnam
2020-01-08,21.251049,106.57614,73.43652,0.36038256,412.20773,0.86747503,0.0,2020-01-08 00:57:27.464020480,VNM,Vietnam
2020-01-08,21.260262,106.58874,73.43155,0.14829208,412.1469,0.88180095,0.0,2020-01-08 00:57:27.491016960,VNM,Vietnam
2020-01-08,21.269499,106.6013,73.42661,0.18188123,413.81238,0.8412779,0.0,2020-01-08 00:57:27.518013440,VNM,Vietnam
2020-01-08,21.278757,106.61385,73.42171,0.40417415,412.53485,0.9058335,1.0,2020-01-08 00:57:27.545009920,VNM,Vietnam
2020-01-08,21.288036,106.626366,73.41684,0.6425582,414.05893,1.0607885,0.0,2020-01-08 00:57:27.572006144,VNM,Vietnam
2020-01-08,21.297329,106.63885,73.41201,0.8840694,414.31763,0.8615681,0.0,2020-01-08 00:57:27.599002880,VNM,Vietnam
2020-01-08,21.216537,106.56497,73.425705,0.8378052,410.23764,1.4206177,1.0,2020-01-08 00:57:27.742997248,VNM,Vietnam
2020-01-08,21.225697,106.57759,73.42068,0.5967252,412.03348,0.99111605,0.0,2020-01-08 00:57:27.769993472,VNM,Vietnam
2020-01-08,21.23489,106.5902,73.41567,0.35969442,413.18274,0.8660561,0.0,2020-01-08 00:57:27.796989952,VNM,Vietnam
2020-01-08,21.244102,106.60278,73.41071,0.14810039,410.69165,0.83031833,1.0,2020-01-08 00:57:27.823986432,VNM,Vietnam
2020-01-08,21.253344,106.61534,73.40578,0.18280785,411.80435,0.86807716,0.0,2020-01-08 00:57:27.851023104,VNM,Vietnam
2020-01-08,21.262602,106.62788,73.40089,0.40496194,412.05402,0.92992187,0.0,2020-01-08 00:57:27.878019584,VNM,Vietnam
2020-01-08,21.271875,106.64038,73.39603,0.643135,411.23163,1.0363832,0.0,2020-01-08 00:57:27.905016064,VNM,Vietnam
2020-01-08,21.281166,106.65285,73.3912,0.8844486,412.16122,1.0093021,0.0,2020-01-08 00:57:27.932012288,VNM,Vietnam
2020-01-08,21.218712,106.60419,73.39487,0.3596764,411.75192,1.1431842,1.0,2020-01-08 00:57:28.131005440,VNM,Vietnam
2020-01-08,21.22793,106.61678,73.3899,0.14811707,408.55136,0.9699238,1.0,2020-01-08 00:57:28.158001920,VNM,Vietnam
2020-01-08,21.237173,106.62936,73.38496,0.1833671,412.89963,0.92326,0.0,2020-01-08 00:57:28.184998400,VNM,Vietnam
2020-01-08,21.246435,106.6419,73.38005,0.4057425,411.38663,0.9537482,1.0,2020-01-08 00:57:28.211994624,VNM,Vietnam
2020-01-08,21.25572,106.65442,73.37518,0.64421093,410.61734,1.1595932,0.0,2020-01-08 00:57:28.238991360,VNM,Vietnam
2020-01-08,21.265028,106.66692,73.370346,0.88581806,408.58072,1.1638218,1.0,2020-01-08 00:57:28.265987584,VNM,Vietnam
2020-01-08,21.220982,106.643326,73.36415,0.18330331,411.7342,0.97155523,0.0,2020-01-08 00:57:28.518008064,VNM,Vietnam
2020-01-08,21.230238,106.65586,73.35925,0.40542826,413.2952,0.95329183,0.0,2020-01-08 00:57:28.545004288,VNM,Vietnam
2020-01-08,21.239506,106.66836,73.35439,0.64369774,411.1487,1.0371768,0.0,2020-01-08 00:57:28.572001024,VNM,Vietnam
2020-01-08,21.248812,106.680855,73.349556,0.8851681,410.82556,0.87950844,0.0,2020-01-08 00:57:28.598997248,VNM,Vietnam
2020-01-08,21.214052,106.66984,73.33845,0.40539798,411.67905,1.5062106,1.0,2020-01-08 00:57:28.878014208,VNM,Vietnam
2020-01-08,21.22331,106.68232,73.333595,0.6434951,410.59286,1.3607768,1.0,2020-01-08 00:57:28.905010432,VNM,Vietnam
2020-01-08,21.232605,106.69481,73.32876,0.884794,411.8574,0.76225495,0.0,2020-01-08 00:57:28.932006912,VNM,Vietnam
2020-01-08,21.151806,106.62089,73.34248,0.8380238,400.72504,0.6990496,1.0,2020-01-08 00:57:29.077007360,VNM,Vietnam
2020-01-08,21.16099,106.63353,73.33745,0.5969687,402.0459,0.59120715,1.0,2020-01-08 00:57:29.104003584,VNM,Vietnam
2020-01-08,21.170183,106.646126,73.33246,0.3600407,404.3176,0.48244515,1.0,2020-01-08 00:57:29.131000064,VNM,Vietnam
2020-01-08,21.207115,106.696266,73.312805,0.6431015,405.32608,0.8543194,1.0,2020-01-08 00:57:29.239026176,VNM,Vietnam
2020-01-08,21.216413,106.70875,73.307976,0.88449347,410.88113,0.71965533,0.0,2020-01-08 00:57:29.266022400,VNM,Vietnam
2020-01-08,21.119495,106.64886,73.30088,0.83687115,410.5211,0.9506463,1.0,2020-01-08 00:57:29.743026432,VNM,Vietnam
