GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,CO2_COUNT
VNM.1_1,VNM,Vietnam,An Giang,An Giang,NA,T?nh,Province,NA,VN.AG,VN-44,207
VNM.7_1,VNM,Vietnam,Bà R?a - V?ng Tàu,Ba Ria - Vung Tau,NA,T?nh,Province,NA,VN.BV,NA,486
VNM.3_1,VNM,Vietnam,B?c Giang,Bac Giang,NA,T?nh,Province,NA,VN.BG,NA,100
VNM.4_1,VNM,Vietnam,B?c K?n,Bac Kan,NA,T?nh,Province,NA,VN.BK,NA,0
VNM.2_1,VNM,Vietnam,B?c Liêu,Bac Lieu,NA,T?nh,Province,NA,VN.BL,NA,13
VNM.5_1,VNM,Vietnam,B?c Ninh,Bac Ninh,NA,T?nh,Province,NA,VN.BN,NA,0
VNM.6_1,VNM,Vietnam,B?n Tre,Ben Tre,NA,T?nh,Province,NA,VN.BR,NA,243
VNM.8_1,VNM,Vietnam,Bình ??nh,Binh Dinh,NA,T?nh,Province,NA,VN.BD,NA,310
VNM.9_1,VNM,Vietnam,Bình D??ng,Binh Duong,NA,T?nh,Province,NA,VN.BI,NA,298
VNM.10_1,VNM,Vietnam,Bình Ph??c,Binh Phuoc,NA,T?nh,Province,NA,VN.BP,NA,304
VNM.11_1,VNM,Vietnam,Bình Thu?n,Binh Thuan,NA,T?nh,Province,NA,VN.BU,NA,228
VNM.13_1,VNM,Vietnam,Cà Mau,Ca Mau,NA,T?nh,Province,NA,VN.CM,NA,7
VNM.12_1,VNM,Vietnam,C?n Th?,Can Tho,NA,Thành ph?,City,NA,VN.CN,NA,86
VNM.14_1,VNM,Vietnam,Cao B?ng,Cao Bang,NA,T?nh,Province,NA,VN.CB,NA,117
VNM.19_1,VNM,Vietnam,?à N?ng,Da Nang,NA,Thành ph?,City,NA,VN.DA,NA,2
VNM.15_1,VNM,Vietnam,??k L?k,Dak Lak,NA,T?nh,Province,NA,VN.DC,NA,566
VNM.16_1,VNM,Vietnam,??k Nông,Dak Nong,NA,T?nh,Province,NA,VN.DO,NA,40
VNM.20_1,VNM,Vietnam,?i?n Biên,Dien Bien,NA,T?nh,Province,NA,VN.DB,NA,492
VNM.17_1,VNM,Vietnam,??ng Nai,Dong Nai,NA,T?nh,Province,NA,VN.DN,NA,754
VNM.18_1,VNM,Vietnam,??ng Tháp,Dong Thap,NA,T?nh,Province,NA,VN.DT,NA,70
VNM.21_1,VNM,Vietnam,Gia Lai,Gia Lai,NA,T?nh,Province,NA,VN.GL,VN-30,1932
VNM.26_1,VNM,Vietnam,Hà Giang,Ha Giang,NA,T?nh,Province,NA,VN.HG,NA,131
VNM.28_1,VNM,Vietnam,Hà Nam,Ha Nam,NA,T?nh,Province,NA,VN.HM,NA,0
VNM.27_1,VNM,Vietnam,Hà N?i,Ha Noi,NA,Thành ph?,City,NA,VN.HI,NA,31
