GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,CO2_COUnt
VNM.1_1,VNM,Vietnam,An Giang,An Giang,NA,T?nh,Province,NA,VN.AG,VN-44,174
VNM.7_1,VNM,Vietnam,Bà R?a - V?ng Tàu,Ba Ria - Vung Tau,NA,T?nh,Province,NA,VN.BV,NA,205
VNM.3_1,VNM,Vietnam,B?c Giang,Bac Giang,NA,T?nh,Province,NA,VN.BG,NA,233
VNM.4_1,VNM,Vietnam,B?c K?n,Bac Kan,NA,T?nh,Province,NA,VN.BK,NA,7
VNM.2_1,VNM,Vietnam,B?c Liêu,Bac Lieu,NA,T?nh,Province,NA,VN.BL,NA,16
VNM.5_1,VNM,Vietnam,B?c Ninh,Bac Ninh,NA,T?nh,Province,NA,VN.BN,NA,132
VNM.6_1,VNM,Vietnam,B?n Tre,Ben Tre,NA,T?nh,Province,NA,VN.BR,NA,117
VNM.8_1,VNM,Vietnam,Bình ??nh,Binh Dinh,NA,T?nh,Province,NA,VN.BD,NA,281
VNM.9_1,VNM,Vietnam,Bình D??ng,Binh Duong,NA,T?nh,Province,NA,VN.BI,NA,272
VNM.10_1,VNM,Vietnam,Bình Ph??c,Binh Phuoc,NA,T?nh,Province,NA,VN.BP,NA,374
VNM.11_1,VNM,Vietnam,Bình Thu?n,Binh Thuan,NA,T?nh,Province,NA,VN.BU,NA,262
VNM.13_1,VNM,Vietnam,Cà Mau,Ca Mau,NA,T?nh,Province,NA,VN.CM,NA,0
VNM.12_1,VNM,Vietnam,C?n Th?,Can Tho,NA,Thành ph?,City,NA,VN.CN,NA,138
VNM.14_1,VNM,Vietnam,Cao B?ng,Cao Bang,NA,T?nh,Province,NA,VN.CB,NA,286
VNM.19_1,VNM,Vietnam,?à N?ng,Da Nang,NA,Thành ph?,City,NA,VN.DA,NA,28
VNM.15_1,VNM,Vietnam,??k L?k,Dak Lak,NA,T?nh,Province,NA,VN.DC,NA,612
VNM.16_1,VNM,Vietnam,??k Nông,Dak Nong,NA,T?nh,Province,NA,VN.DO,NA,91
VNM.20_1,VNM,Vietnam,?i?n Biên,Dien Bien,NA,T?nh,Province,NA,VN.DB,NA,578
VNM.17_1,VNM,Vietnam,??ng Nai,Dong Nai,NA,T?nh,Province,NA,VN.DN,NA,636
