system:index,COUNTRY,EVI,GID_0,NDVI,SAMPLE_1,file_date,image_date,sza,time,vza,xco2,xco2_qual,xco2_sigma,.geo
2020_01_01_00000000000000000000_0,Vietnam,3310,VNM,5394,3.0,2020/01/16,2020-01-01,37.950443,2020/01/16 06:13:54.255,0.41405305,410.80826,0.0,0.46279222,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.82057692023373,11.47626746560577]}"
2020_01_01_00000000000000000001_0,Vietnam,2236,VNM,3086,3.0,2020/01/16,2020-01-01,37.937157,2020/01/16 06:13:54.336,0.10294125,411.75436,0.0,0.50787926,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.84117555324997,11.458281053760574]}"
2020_01_01_00000000000000000002_0,Vietnam,3165,VNM,4275,3.0,2020/01/16,2020-01-01,37.957195,2020/01/16 06:13:54.642,0.19504806,410.83652,0.0,0.47647566,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.83322305576657,11.485260671528367]}"
2020_01_01_00000000000000000003_0,Vietnam,3165,VNM,4275,3.0,2020/01/16,2020-01-01,37.963753,2020/01/16 06:13:55.029,0.0898844,411.4687,0.0,0.48765805,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.83322305576657,11.485260671528367]}"
2020_01_01_00000000000000000004_0,Vietnam,2864,VNM,4043,3.0,2020/01/16,2020-01-01,37.95443,2020/01/16 06:13:55.083,0.28473127,410.24347,0.0,0.50560164,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.84463979556371,11.467274259683172]}"
2020_01_01_00000000000000000005_0,Vietnam,2596,VNM,3547,3.0,2020/01/16,2020-01-01,37.969994,2020/01/16 06:13:55.416,0.2842092,410.76712,0.0,0.51241815,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.84587267933216,11.494253877450966]}"
2020_01_01_00000000000000000006_0,Vietnam,2598,VNM,4895,3.0,2020/01/16,2020-01-01,39.764206,2020/01/16 06:14:32.255,0.42585403,411.28357,0.0,0.50177044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.32318707105138,13.778528181790806]}"
2020_01_01_00000000000000000007_0,Vietnam,3460,VNM,5967,3.0,2020/01/16,2020-01-01,39.78036,2020/01/16 06:14:32.588,0.42782143,410.56738,0.0,0.55904263,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.31301122164193,13.796514593636003]}"
2020_01_01_00000000000000000008_0,Vietnam,2740,VNM,5207,3.0,2020/01/16,2020-01-01,39.92465,2020/01/16 06:14:35.588,0.43330252,408.8294,0.0,0.56158483,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.27662624485394,13.976378712087959]}"
2020_01_01_00000000000000000009_0,Vietnam,4784,VNM,7048,3.0,2020/01/16,2020-01-01,40.45052,2020/01/16 06:14:46.642,0.21927328,411.91025,0.0,0.5389424,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.13356745331855,14.623889538515002]}"
2020_01_01_0000000000000000000a_0,Vietnam,3739,VNM,6685,3.0,2020/01/16,2020-01-01,40.47973,2020/01/16 06:14:46.895,0.5491754,411.33447,0.0,0.46656978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.11856360882487,14.668855568127992]}"
2020_01_01_0000000000000000000b_0,Vietnam,3653,VNM,7203,3.0,2020/01/16,2020-01-01,40.4668,2020/01/16 06:14:46.975,0.21945114,410.10004,0.0,0.47764733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.13313570213451,14.641875950360195]}"
